가로수길명,가로수길시작위도,가로수길시작경도,가로수길종료위도,가로수길종료경도,가로수종류,가로수수량,가로수길길이,식재연도,가로수길소개,도로명,도로종류,도로구간,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
화양로,34.755666,127.627893,34.753878,127.627826,이팝나무,32,0.2,2021,이팝나무가 조성되어 있음,,시도,여명학교 진입로,061-659-4636,전라남도 여수시청,2024-09-05,5785000,전남광주통합특별시 여수시
국지도22호선,34.784358,127.632922,34.789889,127.632975,왕벚나무,328,2,,왕벚나무가 조성되어 있음,,일반국도,소라 덕양~흑산,061-659-4636,전라남도 여수시청,2024-09-05,5785000,전남광주통합특별시 여수시
지방도863도로,34.750136,127.593022,34.768135,127.574772,동백+애기동백+이팝나무+태산목,758,8.4,,"동백,애기동백,이팝나무,태산목이 조성되어 있음",,시도,소라 복산~사곡(천년가로수길),061-659-4636,전라남도 여수시청,2024-09-05,5785000,전남광주통합특별시 여수시
돌산로,34.714544,127.760486,34.674711,127.764133,이팝나무,927,6,,이팝나무가 조성되어 있음,,일반국도,돌산 진모교차로~도실교차로,061-659-4636,전라남도 여수시청,2024-09-05,5785000,전남광주통합특별시 여수시
묘도1길,34.874444,127.710136,34.873624,127.712829,배롱나무,202,1,,배롱나무가 조성되어 있음,,시도,묘도동 주민센터~묘도슈퍼,061-659-4636,전라남도 여수시청,2024-09-05,5785000,전남광주통합특별시 여수시
여수산단로,34.887203,127.708422,34.884622,127.712199,왕벚나무,110,0.5,,왕벚나무가 조성되어 있음,,시도,묘도IC~창촌,061-659-4636,전라남도 여수시청,2024-09-05,5785000,전남광주통합특별시 여수시
신월소로,34.726069,127.710072,34.726434,127.709764,후박나무,16,0.02,2022,후박나무가 조성되어 있음,,시도,신월동 지에이아파트 진입도로,061-659-4636,전라남도 여수시청,2024-09-05,5785000,전남광주통합특별시 여수시
만성로,34.769861,127.701156,34.770099,127.702328,먼나무,25,0.1,2022,먼나무가 조성되어 있음,,시도,구)미평양지고가교,061-659-4636,전라남도 여수시청,2024-09-05,5785000,전남광주통합특별시 여수시
여수산단로,34.784984,127.662774,34.830699,127.687733,애기동백+이팝나무+에메랄드그린,602,3.5,2022,"애기동백,이팝나무,에메랄드그린가 조성되어 있음",,시도,석창사거리~중흥지구 연관단지,061-659-4636,전라남도 여수시청,2024-09-05,5785000,전남광주통합특별시 여수시
하세동길,34.799177,127.631613,34.784467,127.647645,이팝나무,271,1.6,,이팝나무가 조성되어 있음,,시도,군장교~덕양교,061-659-4636,전라남도 여수시청,2024-09-05,5785000,전남광주통합특별시 여수시
도원로,34.755861,127.656841,34.761002,127.645522,먼나무+메타세쿼이아,227,1.7,,"먼나무, 메타세쿼이아가 조성되어 있음",,시도,장성삼거리~도원사거리~kbc방송국,061-659-4636,전라남도 여수시청,2024-09-05,5785000,전남광주통합특별시 여수시
안산1길,34.758283,127.650694,34.759096,127.650105,먼나무,67,1,,먼나무가 조성되어 있음,,시도,안산동(부영여고뒤편도료),061-659-4636,전라남도 여수시청,2024-09-05,5785000,전남광주통합특별시 여수시
대포해안,33.24033189,126.4278251,33.24004885,126.4381742,먼나무,,1.2,,대포해안 먼나무길,이어도로,,대포마을,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
대포포구2,33.2389094,126.4355262,33.2434867,126.4246279,먼나무,,1.3,,대포포구 먼나무길,이어도로+대포중앙로+중문관광로,,대포포구~제주국제컨벤션센터,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
대포포구1,33.2391543,126.4362409,33.2426082,126.4632809,왕벚나무,,2.9,,대포포구 왕벚나무길,이어도로,,대포포구~동병듸,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
논짓물비치하우스,33.23750513,126.3875529,33.24310818,126.3865307,먼나무,,0.6,,논짓물비치하우스에서 시작하는 먼나무길,논짓물로,,논짓물진입로,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
예래초등학교,33.24331982,126.3867116,33.24991157,126.3942548,왕벚나무,,1.1,,예래초등학교 인근 왕벚나무길,예래로,,정문동∼확장도로,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
상예입구,33.2581171,126.4047139,33.2499597,126.3938615,왕벚나무,,1.2,,상예입구로부터 이어지는 왕벚나무길,예래로,,상예입구 ~ 정문동,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
법환마을회관,33.240616,126.5163451,33.2359343,126.5030852,느티나무,,1.4,,법환마을에서부터 시작하는 느티나무길,이어도로,,법환마을~서건도앞,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
악근천,33.23459602,126.4896337,33.23554967,126.4801505,느티나무,,1,,악근천에서부터 시작하는 느티나무길,이어도로,,약근교∼제2강정교,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
강정마을 의례회관,33.23766335,126.475169,33.23349467,126.4868386,왕벚나무,,1.2,,강정마을 의례회관 앞을 지나가는 왕벚나무길,이어도로,,강정천∼마을,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
탐라해군어린이집,33.233521,126.486731,33.235204,126.481414,왕벚나무,,0.7,,탐라해군어린이집 앞 왕벚나무길,이어도로,,강정마을안길,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
하효소머리국밥,33.2633501,126.6175039,33.2568877,126.6175831,후박나무,,0.7,,효돈파출소에서 시작하는 후박나무길,칠십리로+하신상로,,효돈파출소∼망동산,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
쇠소깍오메기식당2,33.260408,126.608143,33.259528,126.595612,녹나무,,1.2,,일주동로에 위치한 녹나무길,일주동로,,동부도서관입구∼신효교,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
쇠소깍오메기식당1,33.260408,126.608143,33.263134,126.622138,녹나무,,1.5,,일주동로에 위치한 녹나무길,일주동로,,동부도서관입구∼효례교,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
신환연립주택,33.24323953,126.5992556,33.24671715,126.5994718,감나무,,0.4,,마소물로에 있는 감나무길,마소물로,,신환빌라∼일주도로,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
제지기오름,33.25372003,126.6175582,33.24240845,126.6047504,먼나무,,1.8,,제지기오름 앞을 지나가는 먼나무길,칠십리로,,마을∼제지기오름,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
보목초등학교,33.24442999,126.5934465,33.24172328,126.6033559,워싱턴야자,,1,,보목초등학교 인근 워싱턴야자길,칠십리로,,보목동 마을안길,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
와이키키다이버스,33.2478936,126.5782772,33.2444058,126.593277,먼나무,,1.5,,보목리 안 먼나무길,칠십리로,,칼호텔∼보목마을,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
서귀포경찰서,33.25707277,126.5101708,33.25010771,126.5056156,먼나무+후박나무+담팔수,,1,,삼성전자서비스센터에서 서귀포경찰서로 이어지는 가로수길,신서귀로97번길,,신시가지2,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
서귀포2청사,33.25992711,126.5103467,33.2491372,126.5098529,먼나무+후박나무+담팔수,,1.3,,월드컵경기장입구에서 서귀포2청사로 이어지는 가로수길,신서귀로,,신시가지1,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
송산동주민센터,33.24528428,126.5657693,33.24483979,126.5688819,먼나무,,0.3,,소암기념관 앞을 지나는 먼나무길,소암로,,구시청후문∼정방교,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
한옥호텔 한라궁,33.2475364,126.5769742,33.2470902,126.5756807,워싱턴야자,,1.7,,정방폭포 인근 워싱턴야자길,칠십리로+칠십리로 214번길,,칼호텔입구∼정방폭포,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
파라다이스호텔,33.24784636,126.5779747,33.245518,126.570697,후박나무,,0.7,,칠십리로에 있는 후박나무길,칠십리로,,파라다이스∼칠십리길입구,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
까망돼지,33.2545771,126.5771057,33.2479051,126.5780341,하귤+돈나무,,0.8,,비석거리에서 보목입구교차로까지 이어지는 가로수길,정방연로,,비석거리∼칼호텔입구,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
동원선어구,33.2400897,126.5621971,33.243249,126.560464,동백나무,,0.646,,칠십리로에 위치한 동백나무길,칠십리로,,부두∼천지연,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
서귀포파크호텔,33.23991267,126.564118,33.244851,126.5652081,해송,,0.6,,파크호텔 앞을 지나가는 해송길,부두로,,부두∼구시청,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
서귀포수협유통사업소,33.24094412,126.5619308,33.24060679,126.5653673,먼나무,,0.3,,서귀포수협유통사무소 인근 먼나무길,칠십리로9-1번길,,솔동산,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
나포리호텔,33.2444348,126.5622165,33.2453477,126.565833,먼나무,,0.4,,천지연폭포입구교차로에서 송산동주민센터로 이어지는 먼나무길,태평로,,나포리호텔∼송산동사무소,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
서신교,33.24869956,126.5700876,33.24540298,126.565872,후박나무,,0.5,,서신교에서부터 이어지는 후박나무길,태평로,,서신교∼구시청,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
대정읍사무소,33.2260413,126.2515136,33.2285085,126.2426718,먼나무,,0.9,,대정읍사무소에서 동일1리마을회관으로 이어지는 먼나무길,동일하모로,,시가지~동일리,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
남원읍사무소,33.28040062,126.7235328,33.27771816,126.7135316,먼나무,,1,,남원읍사무소에서 남원우체국으로 이어지는 먼나무길,태위로,,남원다목적센터~우체국옆사거리,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
예서두레라움,33.26960447,126.5692956,33.26622947,126.5681289,재래감나무,,0.4,,동홍동주민센터교차로에서 시작하는 재래감나무길,동홍로,,중산간도로~산록도로,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
한라산교회,33.27376479,126.5677966,33.27233074,126.5692876,먼나무,,0.2,,동홍로에 위치한 교회 앞 먼나무길,동홍로,,중산간도로~산록도로,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
서귀포의료원,33.256256,126.563544,33.256115,126.560622,먼나무,,0.3,,홍로주차장에서 서귀포의료원 앞으로 이어지는 먼나무길,장수로,,서귀포의료원진입로,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
서귀포국민체육센터 2,33.25107177,126.4313553,33.24350531,126.4255592,워싱톤야자,,1,,서귀포국민체육센터 인근 워싱톤야자길,중문관광로,,중문일주도로~컨벤션센터,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
제주관광공사,33.244446,126.427189,33.24171503,126.4266613,이팝나무,,0.3,,제주관광공사 앞 이팝나무길,천제연로178번길,,중문일주도로~컨벤션센터,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
서귀포국민체육센터 1,33.25107177,126.4313553,33.24350531,126.4255592,담팔수,,1,,서귀포국민체육센터 인근 담팔수길,중문관광로,,중문일주도로~컨벤션센터,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
감귤박물관,33.27155433,126.6085194,33.267408,126.610941,하귤나무,,0.6,,감귤박물관으로 향하는 하귤나무길,효돈순환로,,감귤랜드진입로,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
서호북문,33.26050511,126.5149033,33.26110265,126.5210656,후박나무,,0.6,,서호북문에서부터 이어지는 후박나무길,중산간동로,,서호북문~신시가지,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
서귀포중학교,33.248517,126.569826,33.245614,126.566225,후박나무,,0.5,,서귀포중학교앞에서 제석공원으로 이어지는 후박나무길,태평로,,정방동,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
선사업지구,33.24094871,126.5619549,33.2406715,126.5651792,먼나무,,0.3,,칠십리로91번길에 있는 먼나무길,칠십리로91번길,,솔동산지구,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
효돈생활체육관,33.26723726,126.6170365,33.26078085,126.6175301,먼나무,,0.7,,효돈생활체육관 인근 먼나무길,하신상로,,효돈북문지구,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
솜반천,33.25221969,126.5535633,33.26333211,126.5510169,은행나무,,1.3,,솜반천 인근 은행나무길,서홍로,,솜반천~구서홍동주민센터,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
중문오일시장,33.25736875,126.4279757,33.24905202,126.4239831,후박나무,,1,,중문마을에 위치한 후박나무길,중문상로,,중문마을,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
중문오렌지파크,33.25301355,126.4422871,33.25776415,126.415574,담팔수,,2.7,,중문 일주서로를 지나가는 담팔수길,일주서로+중문관광로,,중문오렌지파크~천제연폭포,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
색달동 마을회관,33.261695,126.412466,33.255505,126.413638,왕벚나무,,0.7,,색달진입로에 위치한 왕벚나무길,색달중앙로,,색달진입로,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
바당어린이공원,33.257402,126.520051,33.255146,126.540421,왕벚나무,,2,,용당교차로에서 시작하여 바당어린이공원으로 이어지는 왕벚나무길,호근서호로,,호근동 진입로,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
서ㆍ호근동,33.2611582,126.5243801,33.25424592,126.5243331,왕벚나무+후박나무,,0.8,,호근동 마을 인근 가로수길,서호호근로,,서ㆍ호근동 마을,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
순환도로,33.24282439,126.5601201,33.24104133,126.5585062,워싱턴야자,,0.4,,천지연 인근 워싱턴야자길,남성중로,,천지연∼대국해저,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
삼매봉,33.24387822,126.5550637,33.24325843,126.5579317,담팔수,,0.3,,삼매봉 앞 담팔수 구간,남성중로,,대국해저진입로,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
황우지해안열두굴,33.240931,126.547082,33.242193,126.552598,워싱턴야자,,0.6,,황우지해안열두굴 앞을 지나는 워싱턴야자길,남성로,,외돌개 진입로,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
남성동,33.24378637,126.5549059,33.2422269,126.5528067,먼나무,,0.3,,남성마을에 있는 먼나무길,남성로,,남성마을,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
공업단지입구,33.28299468,126.589253,33.29148062,126.5846585,산딸나무,,1.1,,토평공업단지 입구로부터 시작하는 산딸나무길,토평공단로,,공업단지 진입로,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
토평공업단지2,33.2930717,126.5798761,33.29029667,126.5821359,참식나무+후박나무,,0.4,,토평공업단지 북서쪽에서 남동쪽으로 이어지는 가로수길,토평공단로,,공업단지내2,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
토평공업단지1,33.29060348,126.5788721,33.29296945,126.5829807,참식나무+후박나무,,0.5,,토평공업단지 남서쪽에서 북동쪽으로 이어지는 가로수길,토평공단로127번길,,공업단지내1,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
법화사입구,33.28574595,126.457092,33.26442479,126.4610747,느티나무+은행나무,,2.6,,천문과학문화관에서 법화사입구로 이어지는 느티나무와 은행나무길,중산간서로+1100로,,법화사입구∼탐라대,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
동남초등학교,33.45433031,126.9114942,33.43501083,126.9096709,담팔수,,2.2,,동남초등학교 앞을 지나가는 담팔수길,일주동로,,고성일주도로변,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
시흥교차로,33.482996,126.898049,33.48226086,126.8980851,담팔수,,0.1,,시흥리에 위치한 담팔수길,일주동로,,시흥리남북경계,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
신양리입구,33.435226,126.909763,33.442132,126.911849,담팔수,,0.8,,신양교차로에서부터 이어지는 담팔수길,일주동로,,신양~읍사무소,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
상동교차로,33.41273772,126.8996177,33.4038055,126.896176,담팔수,,1.1,,온평일주도로에 위치한 담팔수길,일주동로,,온평일주도로,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
서귀포고성우체국,33.447147,126.912345,33.442259,126.883571,왕벚나무,,2.8,,서귀포고성우체국으로 시작하는 왕벚나무길,서성일로,,고성리~수산리,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
시흥초등학교,33.481323,126.897655,33.477255,126.895882,해송,,0.5,,시흥초등학교 앞 해송길,시흥상동로,,시흥리,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
제주감귤농협 성산지점,33.447204,126.915033,33.442166,126.911856,후박나무,,0.6,,제주감귤농협을 지나는 후박나무길,고성오조로+일주동로,,고성~읍사무소,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
고성오일시장,33.454381,126.911549,33.451065,126.911951,담팔수,,0.4,,고성오일시장 인근 담팔수길,일주동로,,고성~한통,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
앞개포구,33.2749772,126.6627612,33.27283662,126.6630538,담팔수,,0.2,,위미항진입로까지 이어지는 담팔수길,위미중앙로,,위미항진입로,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
효돈천,33.268209,126.623686,33.26884714,126.6302258,먼나무,,0.6,,하례1리 마을안에 위치한 먼나무길,하례로,,하례1리 마을안,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
위미동백군락,33.272944,126.673101,33.272354,126.671496,먼나무,,0.2,,위미동백군락 인근 먼나무길,위미중앙로,,위미우회도로,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
위미2리 교차로,33.27734091,126.6624609,33.27509888,126.6627473,담팔수,,0.2,,위미2리 교차로에서부터 이어지는 담팔수길,위미중앙로,,위미항진입로,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
위미농협,33.29380466,126.6191723,33.29466877,126.6227625,종가시나무,,0.4,,위미농협 앞 종가시나무길,신례로,,신례교차로~신례로379번길,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
하례교차로,33.263513,126.629449,33.271642,126.647851,담팔수+먼나무,,2,,하례교차로 인근 가로수길,일주동로,,하례리~위미리,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
남원119센터,33.281838,126.708678,33.276454,126.709007,후박나무,,0.6,,남원119센터를 지나가는 후박나무길,남원체육관로,,영화박물관진입로,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
태흥2리체육공원,33.28473601,126.7494243,33.279696,126.744009,해송,,0.8,,태흥2리 해안도로에 있는 해송길,남태해안로,,태흥2리 해안도로,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
태흥2리마을회관,33.28881443,126.7498179,33.282983,126.732507,후박나무,,1.8,,태흥초등학교 앞을 지나는 후박나무길,태위로,,태흥2리,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
태흥1리마을회관,33.284314,126.739072,33.28213194,126.7287311,참식나무+동백나무,,1,,"태흥1리 마을회관 앞을 지나가는 참식나무, 동백나무가 식재되어 있는 길",태위로,,태흥1리,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
남원하나로마트,33.283288,126.720475,33.279789,126.721189,먼나무,,0.4,,남원교차로에서 남원읍사무소로 이어지는 먼나무길,남조로,,남원리,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
위미초등학교,33.271511,126.647991,33.275647,126.676834,왕벚나무,,2.8,,위미초등학교 앞을 지나가는 왕벚나무길,태위로,,"위미1리, 2리, 3리 통합",064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
대정농협 하나로마트,33.225046,126.265783,33.249787,126.283188,먼나무,,3.6,,송악관광로에 위치한 먼나무길,송악관광로+일주서로,,상모~안성,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
안성리복지회관,33.24967839,126.279116,33.24991888,126.2823077,먼나무,,0.3,,안성리복지회관 앞 추사로 먼나무길,추사로,,대정인성리마을안길,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
대명석재,33.22329497,126.2599308,33.21187732,126.257312,해송,,1.3,,운진항에서부터 이어지는 해송길,동홍로,,대정운진항,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
상모2리 복지회관,33.223132,126.259984,33.211408,126.257172,해송,,1.4,,상모2리 복지회관 인근 해송길,상모로+최남단해안도로,,산이수동송악산로,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
모슬포우체국,33.2227752,126.2560175,33.2253931,126.2671408,먼나무,,1.1,,모슬포우체국 앞에서부터 이어지는 먼나무길,상모로,,상모리~이교동,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
대정청소년수련관,33.227238,126.248247,33.225887,126.247274,담팔수,,0.2,,대정청소년수련관 인근 담팔수길,동일하모로,,청소년수련관입구,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
일과1리어촌계공동창고,33.235375,126.242502,33.232607,126.241711,먼나무,,0.4,,일과1교차로에서 시작하는 먼나무길,암반수마농로,,일과1리,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
제주국제예술센터,33.272651,126.199201,33.269339,126.203863,먼나무,,0.6,,무릉초등학교 앞을 지나는 먼나무길,서삼중로,,무릉1리,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
이교동일제군사시설,33.224959,126.265436,33.222792,126.255852,후박나무,,0.9,,상모리에 위치한 후박나무길,상모리,,상모리,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
표선서하동선간,33.321914,126.833753,33.316915,126.8412528007,후박나무,,0.9,,표선파출소 인근에서 표선 해안도로로 이어지는 후박나무길,표선 서하동선간,,표선리 959-2에서 표선리 11-2 (표선백사로~민속해안로),064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
용흥도시계획도로,33.252369,126.4815743088,33.260716,126.48175114,배롱나무,,1,,용흥마을회관인근에서 중산간서로로 이어지는 배롱나무길,용흥로 66번길,,강정동 4067-2에서 강정동 3794-1,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
미풍해장국,33.32607031,126.828515,33.32792446,126.8311065,먼나무,,0.3,,표선 미풍해장국 앞에서부터 시작하는 먼나무길,표선중앙로58번길,,표선시가지,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
표선교차로,33.33582372,126.8412755,33.34519333,126.8499022,먼나무,,1.3,,표선교차로에서 시작하는 먼나무길,일주동로,,표선리~신천리,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
표선교회,33.3295062,126.8225808,33.32200645,126.8336539,먼나무,,1.3,,표선교회 인근 먼나무길,표선관정로,,표선도시계획도로,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
유채꽃프라자,33.36184079,126.765538,33.43480727,126.7248535,왕벚나무,,10.1,,유채꽃프라자 인근 왕벚나무길,녹산로,,가시리~제동목장,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
성읍1리사무소,33.39322517,126.7969481,33.38526757,126.8013206,후박나무,,1.5,,성읍1리사무소를 지나는 후박나무길,성읍민속로+성읍정의현로,,성읍1리 마을안,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
표선농협2,33.33437917,126.828778,33.37640659,126.8039548,후박나무,,7.8,,표선농협에서 시작하는 후박나무길,97번 지방도,,표선리~성읍1리,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
표선농협1,33.33437917,126.828778,33.37640659,126.8039548,팽나무+녹나무,,5.4,,표선농협에서 시작하는 가로수길,97번 지방도,,표선리~성읍1리,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
서귀포시축산농협,33.32802263,126.831195,33.33235023,126.8293929,왕벚나무+동백나무+당종려,,0.5,,표선중앙로에 다양한 나무가 조화롭게 있는 가로수길,표선중앙로,,면사무소~표선상고,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
표선면사무소,33.3266242,126.8321898,33.32572448,126.8361546,왕벚나무,,0.4,,표선면사무소 인근 왕벚나무길,표선중앙로,,면사무소~표선민속촌,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
표선보건소,33.33266565,126.8292822,33.32802938,126.8311909,왕벚나무+해송,,0.5,,표선보건소 인근 왕벚나무 해송길,표선중앙로,,표선시가지,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
신화역사2 교차로,33.30901707,126.3079423,33.31022049,126.3400071,배롱나무+애기동백,,3.2,,신화역사2 교차로에서 동광육거리까지 이어지는 가로수길,신화역사로,,신화역사로,064-760-3035,제주특별자치도 서귀포시청,2025-01-10,6520000,제주특별자치도 서귀포시
